,kor,eng
10888,나는 다음 주에 회사를 그만두기 때문에 가급적 서둘러 주었으면 좋겠습니다 .,There are six kinds of trump cards .
10889,나는 다음 주에는 월요일과 화요일에 시간이 납니다 .,I have some time on next Monday and Tuesday .
10890,나는 다음 중간고사를 위해서 공부할 것입니다 .,I ll study for the next mid term exam .
10891,나는 다음 학기를 등록할 지 고민중입니다 .,I m concerning whether I will enroll for the next semester .
10892,나는 다음 학기에도 너랑 같이 일할거야 .,I ll work with you next semester too .
10893,나는 다음 항구가 브라질이라고 생각합니다 .,I think the next port is in Brazil .
10894,나는 다음 해에 직업을 갖기를 원합니다 .,I want to get a job next year .
10895,나는 다음에 또 홍콩에 오고 싶어 .,I want to visit Hong Kong again .
10896,나는 다음에 해도 괜찮아요 .,I can do it next time .
10897,나는 다음에도 그 선생님의 수업을 듣고 싶어 .,I want to attend the teacher s class next time .
10898,나는 다음에도 너와 함께 이렇게 얘기하고 싶어 .,I want to talk to you again like this next time .
10899,나는 다음에도 사람들이 행복하기를 바라 .,I wish people would be also happy next time .
10900,나는 다음에도 잊지 못할 추억을 친구들과 남기고 싶다 .,I want to leave an unforgettable memory with friends next time too .
10901,나는 다음주에 있을 직원들 교육 준비를 하고 있습니다 .,I m preparing for staff training which will take place next week .
10902,나는 다이어트 때문에 운동으로 하루를 보낼 거 같아 .,I m going to exercise for the whole day because of my diet .
10903,나는 다이어트 때문에 저녁을 아주 적게 먹었어 .,I ate very little dinner because of diet .
10904,나는 다이어트란 주제를 가지고 발표를 시작하겠다 .,I ll start the presentation on the topic of a diet .
10905,나는 다이어트를 안 한 것을 후회해요 .,I regret not going on a diet .
10906,나는 다이어트를 하거나 공부를 해도 길게 하지 못했어요 .,I can t stick to either dieting or studying .
10907,나는 다이어트를 하고 있는데 시작한 지 일주일 됐어 .,I m on a diet right now it s been a week .
10908,나는 다이어트약을 사기 위해 가게에 갔어 .,I went to the drug store to get diet peels .
10909,나는 다이어트에 대한 찬성이라 말할 것입니다 .,I will say that I agree on dieting .
10910,나는 다이어트해서 몸무게를 줄일 거예요 .,I will lose my weight by going on a diet .
10911,나는 다큐멘터리 프로그램을 좋아합니다 .,I like a documentary program .
10912,나는 다큐멘터리를 가장 좋아하고 그다음으로 스포츠를 좋아해요 .,I like documentary programs the most and then sports next .
10913,나는 다함께 무언가에 열정을 쏟는 것이 좋아 .,I like to be passionate about something altogether .
10914,나는 단 한 순간도 너를 잊지 않았어요 .,I haven t forgotten you for a single moment .
10915,나는 단국대인데 너는 어느 학교 다니는 거야 ?,I go to Dankuk university how about you ?
10916,나는 단발이나 목이 보이는 머리 스타일을 좋아해요 .,I like the bobbed hair or the hairstyle that shows one s neck .
10917,나는 단색 티셔츠에 청바지를 입어요 .,I wear a solid colored shirt and a pair of jeans .
10918,나는 단순히 스펙을 목적으로 하는 것은 아니야 .,I am not doing this just for the specification .
10919,나는 단시간에 집중할 수 있게 만드는 것이 바로 공기라고 생각합니다 .,I think air makes me focus on something in a short time .
10920,나는 단식은 4세트 복식은 4세트를 이겨요 .,I win 4sets on a single match and 4sets on a double match .
10921,나는 단지 공부를 하러 학교에 왔어요 .,I just came to school to study .
10922,나는 단지 나일 뿐이에요 .,I m just who I am .
10923,나는 단지 내일 당신은 일하고 늦게 끝난다는 거야 .,It s just that you work tomorrow and you finish late .
10924,나는 단지 너와 이 얘기 저 얘기를 같이 나누고 싶었어 .,I just wanted to talk about anything with you .
10925,나는 단지 너의 프로필을 구경하고 있어 .,I am just seeing your profile .
10926,나는 단지 몇 개의 Mpack을 설치했을 뿐인데 앱 사이즈 제한에 걸렸습니다 .,I was blocked by App size restrictions after installing just a few Mpacks .
10927,나는 단지 여윳돈은 은행에 예금합니다 .,I just deposit my extra money in the bank .
10928,나는 단지 영어 사용하는 것에 대해 익숙해지고 싶어 .,I just want to get used to using English .
10929,나는 단지 영어로 말하는 게 힘들었을 뿐이야 .,I was only having trouble speaking in English .
10930,나는 단지 예쁜 양말과 과자 음료수를 원합니다 .,I just want some cute socks and snacks as well as drinks .
10931,나는 단지 오늘 밤에 당신이 필요하네요 .,I just need you tonight .
10932,나는 단지 오늘이 싫을 뿐이야 .,I just hate today that s all .
10933,나는 단지 우리 서로 사랑하려는 마음을 확인하려고 했었다 .,I just wanted to check our love for each other .
10934,나는 단지 우리의 사랑을 입증하고 싶었어요 .,I just wanted to prove our love .
10935,나는 단지 이번 여행이 대만보다 낫길 바라 .,I just hope this trip to be better than the Taiwan one .
10936,나는 단지 이틀 동안만 책을 가지고 있었어요 .,I had the book only for two days .
10937,나는 단지 일이 바빴기 때문에 너한테 연락을 못 한 거야 .,I couldn t contact you because I was just too busy .
10938,나는 단지 임신에 관해 물어 본거야 .,I just asked about the pregnancy .
10939,나는 단지 저 말만을 쓰려고 하는 건 아니야 .,I m not just trying to write that word only .
10940,나는 단지 저녁밥만 그와 먹었습니다 .,I ate only dinner with him .
10941,나는 단지 저렴하게 제공할 뿐입니다 .,I just provide it with a more cheaper price .
10942,나는 단지 전달만 하고 물품 품질에 대해서는 책임이 없어 .,I just deliver goods and don t have responsibility for the product quality .
10943,나는 단지 지금 너의 기분을 알고 싶었어 .,I ve just wanted to know how you feel now .
10944,나는 단지 지금 당신이 보고 싶어서 하는 얘기예요 .,I m just saying this because I miss you now .
10945,나는 단지 친구보다 우리가 연인이 되었으면 좋겠어요 .,I wish we will be sweethearts than just friends .
10946,나는 단지 토레스를 사랑하고 아스널을 싫어할 뿐이야 .,I just really love Torres and hate Arsenal .
10947,나는 단지 평화롭고 감사함을 느낍니다 .,I m just peaceful and thankful .
10948,나는 단지 하나의 시트로 만들었을 뿐이에요 .,I just made with only one sheet .
10949,나는 단지 햄버거 하나밖에 안 먹었어요 .,I just ate a hamburger .
10950,나는 단지 화제를 돌리고 싶었어 .,I just wanted to change the topic .
10951,나는 단짝 친구와 수영 운동을 했어요 .,I went swimming with my best friend .
10952,나는 단체경기 보는 걸 좋아해요 .,I like watching the team games .
10953,나는 달러 입금 내용을 확인하고 싶어요 .,I want to confirm a dollar deposit information .
10954,나는 닭이 우는 소리 그리고 개가 짖는 소리를 싫어 합니다 .,I hate the sound of cock crowing and dog barking .
10955,나는 담당 업무 분야에 필요한 기본 업무 지식이 있어 .,I have the basic knowledge necessary for the business part in charge .
10956,나는 담배 연기를 많이 맡은 날에 머리가 아프다 .,I get headaches on days I smell a lot of cigarette smoke .
10957,나는 담배 피우는 것을 점점 줄이고 있습니다 .,I am reducing my smoking .
10958,나는 담배는 끊을 거지만 술은 끊을 수 없어 .,I will quit smoking but I can t stop drinking .
10959,나는 답장이 안 올 줄 알았어 .,I did not expect a reply .
10960,나는 당근 케이크가 유명한 카페에서 일했어요 .,I worked at a cafe that is known for carrot cakes .
10961,나는 당근 케이크로 유명한 카페에서 일했습니다 .,I worked at the cafe known as carrot cakes .
10962,나는 당분간 당신이 신경을 안 썼으면 좋겠어 .,I hope you don t pay attention to me for a while .
10963,나는 당신 같은 생활 패턴을 싫어해 . .,But I don t like your life pattern .
10964,나는 당신 같은 스타일을 기대했습니다 .,I expected a style like you .
10965,나는 당신 덕분에 영어 공부를 하고 있어요 .,I am studying English thanks to you .
10966,나는 당신 덕분에 힘이 납니다 .,You are cheering me up .
10967,나는 당신 돈 필요 없어요 .,I don t need your money .
10968,나는 당신 동료의 전화를 받았습니다 .,I have received a phone call from your colleague .
10969,나는 당신 딸에게 든든한 사람입니다 .,I am a reliable person for your daughter .
10970,나는 당신 때문에 꿈도 희망도 가지게 됐어요 .,I have a dream and hope because of you .
10971,나는 당신 때문에 울고 있어요 .,I m crying because of you .
10972,나는 당신 때문에 울었어요 .,I cried because of you .
10973,나는 당신 때문에 중국을 좋아합니다 .,I like China because of you .
10974,나는 당신 때문에 직업이 있는 거예요 .,I have a job because of you .
10975,나는 당신 신용카드로 쇼핑을 할거예요 .,I ll use your credit card for shopping .
10976,나는 당신 안에서 나를 발견할 수 있어요 .,I can find myself inside of you .
10977,나는 당신 앞에서 사라져버릴 거예요 .,I will disappear in front of you .
10978,나는 당신 여동생에게 나에 대해 말해줬어 .,I told your sister about myself .
